nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas,
KOH-E-NOOR,Jakarta Selatan,"Pasar Festival, Jl. HR. Rasuna Said Kav. C-22",,,Shahid Pervez Chaudhry,PT. Koh-e-Noor,,,Bar,2015-01-10,
KOMACHI,Jakarta Selatan,Jl. Melawai VIII No. 2 A Blok B3,,,Nizmah,PT. Mulia Alunan Nadatama,021 7396063,021 7243901,Bar,2015-01-10,
KOMUNAL 88,Jakarta Selatan,Jl. Ampera Raya No. 5 - 6,,,Dahlia Zinnia Nizar,PT. Komunal Kuliner Modern,021 71970007,021 7183000,Bar,2015-02-15,
Kotengu,Jakarta Selatan,Jl. Melawai VIII No. 5,,,Sri Maryati,PT. Surya Kencana Putra,,,Bar,2015-01-10,
KUNINGAN VILLAGE,Jakarta Selatan,Jl. Karbela Timur No. 62,,,Hanny Harjo,PT. Kuningan Elok,,,Bar,2015-01-10,
LA LUCE,Jakarta Selatan,"Gd. Equity Tower C of 18 PARC SCBD, Jl. Jend. Sudirman",,,Daniel Wardojo,PT. Dwisatya Citarasa,021 5152330,021 5152330,Bar,2015-01-24,
LE CIRQUE,Jakarta Selatan,"Gd. Tempo Scan Tower Lt. 3, Jl. HR. Rasuna Said",,,Reza Susantina Tanojo,PT. Tempo Sentra Boga,021 29218888,021 29201446,Bar,2015-01-10,
LE MIEUX,Jakarta Selatan,"Pacific Place Shopping Mall SCBD, Jl. Jend. Sudirman",,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,021 36363481,021 33512449,Bar,2015-01-10,
LEVEL II ( LEVEL TWO),Jakarta Selatan,"Gd. Semanggi Expo SCBD Lot. 8, Jl. Jend. Sudirman",,,Raymond Ramanan,PT. Cantya Anzhana Mandiri,,,Bar,2015-01-10,
LIBERICA,Jakarta Selatan,"Cilandak Town Square, Jl. TB. Simatupang Kav. 1",,,Reeza Budhisurya,PT. Liberica,,,Bar,2015-01-10,
LIBERICA,Jakarta Selatan,"Mall Pacific Place, Jl. Jend. Sudirman Kav. 52 -53",,,Reeza Budhisurya,PT. Liberica,021 7822885,,Bar,2015-01-10,
LIBERICA,Jakarta Selatan,"Gd. Colony, Jl. Kemang Raya No. 6A",,,Reeza Budhisurya,PT. Liberica,,,Bar,2015-01-10,
LIBERICA,Jakarta Selatan,"Mall Gandaria City, Jl. Sultan Iskandar Muda",,,Reeza Budhisurya,PT. Liberica,021 7822885,,Bar,2015-01-10,
LIBERTE FRENCH BRASSERIE,Jakarta Selatan,Galeries Lafayete Pacific Place Level 2 (SCBD) ,,,Hendry Utomo,PT. Culina Global Utama,,,Bar,2015-01-10,
LIO GALLERY,Jakarta Selatan,Jl. Kemang Timur Raya No. 50,,,Bambang Reguna,PT. Reguna Bukit Indoboga,021 71794409,021 7180501,Bar,2015-01-10,
LIQUID EXCHANGE,Jakarta Selatan,Epicentrum Walk Rasuna Epicentrum Jl. H.R. Rasuna Said,,,Darmawan Narjadin,PT. Multiboga Primarasa,021 29941441,021 29941441,Bar,2015-01-10,
LOEWY,Jakarta Selatan,"Shopping Oakwood, Jl. Lingkar Mega Kuningan ",,,Hernando Basuki,PT. Entourage Selera Abadi,021 25542379,021 25542379,Bar,2015-01-10,
LOT 8,Jakarta Selatan,Jl. Jend. Sudirman,,,Boedhi Sienarto,PT. Graha Boga,021 72790067,021 7237776,Bar,2015-01-10,
LULO KITCHEN & BAR,Jakarta Selatan,Jl. Kemang Raya No. 20 A,,,Audy Riri Mestika,PT. Lulo Mitra Jaya Abadi,,,Bar,2015-01-10,
LUNA NEGRA,Jakarta Selatan,"Plaza Bapindo, Jl. Jend.Sudirman Kav. 54 - 55",,,Eddy Indrayadi,PT. Luna Negra,021 29950077,021 29950077,Bar,2015-01-10,
LV CLUB,Jakarta Selatan,"Gd. Piccadilly Suites, Jl. Kemang Selatan Raya N",,,Ir. Buyung Achmad Yani,PT. Lui Victoria Perkasa,021 78833991,,Bar,2015-01-10,
M O,Jakarta Selatan,Jl. Tanjung Barat Raya No. 24,,,Bismo Wahono,PT. Wahanaguna Caturyasa,021 7824028,,Bar,2015-01-10,
M POINT,Jakarta Selatan,Jl. Panglima Polim Raya No. 5-7,,,Noor Bandi Djakaria,PT. Multi Point Sarana Sukses,,,Bar,2015-01-10,
MAD,Jakarta Selatan,Gd. Lotte Shopping Avenue Lt. 4 Unit 4F-33 Ciputra,,,Lie Tommy Irawan,PT. Ming Cipta Rasa,,,Bar,2015-01-10,
MAD DOG,Jakarta Selatan,"Cilandak Commercial Estate, Jl. Raya Cilandak",,,Yatimah,PT. Solas Laksana Alenna,,,Bar,2015-01-10,
MADAM KWOK,Jakarta Selatan,Jl. HR. Rasuna Said,,,Muhammad Riza,PT. Kalyana Culinario,,,Bar,2015-01-10,
MADELEINE BISTRO,Jakarta Selatan,Jl. Kemang Raya No. 89,,,Fathia Isfandiari Syarif,PT. Mitra Boga Abadi Dhani,,,Bar,2015-01-10,
MAGNUM,Jakarta Selatan,"Gandaria City, Jl. Sultan Iskandar Muda",,,Surya Aseanto Putra,PT. Magnum Mitra Prima,,,Bar,2015-01-10,
MAI - MU,Jakarta Selatan,Jl. Melawai IX No. 4,,,Listia Handayani,PT. Mutiara Asia,021 7204679,021 7204679,Bar,2015-01-10,
MAMBO BODEGA,Jakarta Selatan,Jl. Kemang Raya No. 5,,,Anthony Manuel Lago,PT. Ricardo Lago Group Indo,,,Bar,2015-01-10,
MAMMA ROSY,Jakarta Selatan,Jl. Kemang Raya No. 58,,,Koswara Tjandra,CV. Dallas Senayan,,,Bar,2015-01-10,
MAMMA ROSY,Jakarta Selatan,Jl. Kemang Raya No. 58,,,Koswara Tjandra,CV. Dallas Senayan,,,Bar,2015-01-10,
MAMMA ROSY,Jakarta Selatan,Jl. Kemang Raya No. 58,,,Koswara Tjandra,CV. Dallas Senayan,,,Bar,2015-01-10,
MANPUKU TETTCHAN,Jakarta Selatan,Jl. Melawai 9 No. 32,,,S. Susilowati M.S,PT. Kira Kira Ginza,021 7254078,021 7254078,Bar,2015-01-10,
MARBELLA KEMANG RESIDENCE,Jakarta Selatan,Jl. Bangka Raya No. 45,,,Adwien Dhanu Suhendro,PT. Pacific Varia Bersama,,,Bar,2015-01-10,
MARKET BAR,Jakarta Selatan,"Lippo Mal Kemang, Kemang Village, Jl. Kemang",,,Wawan Setiawan Salum,PT. Erpeka,,,Bar,2015-01-10,
MARKET BAR,Jakarta Selatan,"Mal Kota Kasablanka, Jl. Casablanca Kav. 88",,,Wawan Setiawan Salum,PT. Sapta Selera Kreasi,,,Bar,2015-01-10,
MARLEY,Jakarta Selatan,"The Energy SCBD, Jl. Jend.Sudirman Kav. 52 - 5",,,Bayu Sutiyono,PT. Robagu Kreasi,021 57991580,021 57991581,Bar,2015-01-10,
MARUFUKU,Jakarta Selatan,Jl. Melawai VI No. 11,,,Rusli Pemi,CV. Gemilang Rasa,021 7267777,021 7265544,Bar,2015-01-10,
MATSURI,Jakarta Selatan,Jl. Melawai IX No.16,,,Heru Watiningsih,PT. Kimi Lucky,021 7246974,021 7246974,Bar,2015-01-10,
MAXI BAR,Jakarta Selatan,Jl. Faletehan I No. 24,,,Suyanti Jagodzainski,CV. Maxi Bar,021 7229818,021 7229817,Bar,2015-01-10,
MAY STAR,Jakarta Selatan,Jl. Sultan Iskandar Muda,,,Halim Juhanim,PT. Wuxing Maju Sejahtera,,,Bar,2015-01-10,
MELAWAI 21,Jakarta Selatan,Jl. Melawai V No. 4,,,Heri Mulyantoro,PT. Daka Jaya Abadi,021 7260845,021 7260845,Bar,2015-01-10,
MELODI,Jakarta Selatan,Jl. Bulungan I/15,,,George Yosy,PT. Melodi Irama Indah,021 7220019,021 7220019,Bar,2015-01-10,
MEZZALUNA,Jakarta Selatan,Jl. Kemang Raya No. 118,,,Petrus Darwis,PT. Puriartha Artistika,021 7197788,021 7183513,Bar,2015-01-10,
MICHEL'S PATISSERIE,Jakarta Selatan,Pondok Indah Plaza 2 Blok BA 23 Jl. Metro Pondok Indah,5,8,Lestari Moerdijat,PT. Pangansari Utama Patisserie,021 29923060,021 29923060,Bar,2015-01-10,
MIKADO,Jakarta Selatan,Jl. Melawai VI No. 15,,,Hartuti K,PT.Hartuti Expressindo,021 7251765,,Bar,1940-10-01,
MINAMIAOYAMA MAMA,Jakarta Selatan,Jl. Kyai Maja No. 35,,,Djaharry D. Saragih,PT. Gloria Meong,021 7267805,021 7267806,Bar,2015-01-10,
MING,Jakarta Selatan,"Gd. Epicentrum Walk Rasuna Epicentrum, Jl. HR. Rasuna Said",,,Lie Tommy Irawan,PT. Ming Cipta Rasa,021 29912323,021 29912338,Bar,2015-01-10,
MITSUBACHI,Jakarta Selatan,Jl. Melawai VII No. 2,,,Nizmah,PT. Oase Indonesia Jaya,021 7253461,021 7253461,Bar,2015-01-10,
MOE MOE CAFE,Jakarta Selatan,Jl. Mahakam I No. 11,,,Wahyudi,PT. Komodo Menari,021 72799077,021 72799050,Bar,2015-01-10,
MONDO,Jakarta Selatan,Jl. Kemang Raya No. 72 I,,,Izumimoto Shunsuke,PT. Cipta Amrita,021 5707600,021 5700077,Bar,2015-01-10,
MONOLOG,Jakarta Selatan,"Pondok Indah Mall, Jl. Metro Pondok Indah Blok II",,,Haryadi Ridwan,PT. Gastronomica Indonesia,021 7506750,021 7506755,Bar,2015-01-10,
MONOLOG,Jakarta Selatan,"Pondok Indah Mall, Jl. Metro Pondok Indah Blok II",,,Haryadi Ridwan,PT. Gastronomica Indonesia,021 7506750,021 7506755,Bar,2015-01-10,
MOODZ,Jakarta Selatan,Jl. Taman Rasuna,,,Stokowy Andreas Heinrich,PT. Food Evolution Indonesia,,,Bar,2015-01-10,
MOON RIDER,Jakarta Selatan,Jl. Falatehan I No. 14,,,Sri Mahayu,PT. Graha Artha H2E,,,Bar,2015-01-10,
MORE,Jakarta Selatan,"Jl. Melawai VIII No. 2, Blok M",,,Reyanti Prihatiningsih,,021 7393594,021 7262634,Bar,20/80,
MORE,Jakarta Selatan,"Jl. Melawai VIII No. 2, Blok M",,,Reyanti Prihatiningsih,,021 7393594,021 7262634,Bar,20/80,
MOS CAFÉ,Jakarta Selatan,Jl. Melawai Raya No. 28 Lt. 2,,,Pinnywati Chandra,PT. Mog Indonesia,021 7262088,021 7262088,Bar,2015-01-10,
MUNCHIES,Jakarta Selatan,"Gandaria City, Jl. Sultan Iskandar Muda",,,Jason Aditya Mulia,PT. Mitra Food Internasional,,,Bar,2015-01-10,
MUNCHIES,Jakarta Selatan,"Mal Kota Kasablanka, Jl. Casablanca Kav. 88",,,Jason Aditya Mulia,PT. Mitra Restoran Indonesia,,,Bar,2015-01-10,
MURPHY'S IRISH PUB & PUBLIC HOUSE,Jakarta Selatan,Jl. Kemang Raya No. 11 A,,,Irene Hanim,PT. IndoErin,021 7183382,021 7183382,Bar,2015-01-10,
MUSIC POOL,Jakarta Selatan,"Grand Wijaya Center, Jl. Wijaya II Blok F No. 86-87",,,Edy Selamat,CV. Anugerah Swara Melody,021 2702333,021 2702333,Bar,2015-01-10,
MY BAR,Jakarta Selatan,Jl. Falatehan I No. 16,,,Hitendransinh Mohansinh Darbar,PT. Darbar Global International,021 7396510,021 72801654,Bar,2015-01-10,
MY HUMBLE HOUSE,Jakarta Selatan,"Gd. Lotte Shopping Avenue Lt. 5 Unit 5F-01, Ciputra",,,Lie Tommy Irawan,PT. Ming Cipta Rasa,,,Bar,2015-01-10,
MY PLACE,Jakarta Selatan,"Wijaya Centre, Jl. Wijaya II Blok H No. 1-4",,,Jhoni Mery,PT. Dwidaya Mitra Perkasa,021 4533199,021 4533199,Bar,2015-01-10,
MY PLACE SPA,Jakarta Selatan,Jl. Tentara Pelajar Permata Senayan Blok D 38,,,Jhoni Mery,PT. Dwidaya Mitra Perkasa,021 57940849,021 57940848,Bar,1940-10-01,
NAMASTE RESTO,Jakarta Selatan,"Menara Gracia Lt. 1, Jl. HR. Rasuna Said Kav.C",,,Surinder Singh,PT. Tri Boga Kreasi,,,Bar,2015-01-10,
NAV,Jakarta Selatan,Jl. Arteri Pondok Indah RT003/RW005,,,Jakub Setjoatmadja,PT. Nada Suara Abadi,,,Bar,2015-01-10,
NAV,Jakarta Selatan,Jl. Karbela Timur RT001/RW005,,,Jakub Setjoatmadja,PT. Nada Suara Abadi,021 5033567,021 5034829,Bar,2015-01-10,
NAV,Jakarta Selatan,Komp. Duta Mas Fatmawati Blok A1 No. 35 - 37,,,Jakub Setjoatmadja,PT. Nav Jaya Mandiri,021 72788086,021 72797055,Bar,2015-01-10,
NAV,Jakarta Selatan,Komp. Dbest Ruko Golden Plaza Blok G No. 6-7,,,Jakub Setjoatmadja,PT. Nav Bima Pratama,021 7508990,021 7508934,Bar,2015-01-10,
NAV,Jakarta Selatan,"Plaza Kaliabata Lt. Basement, Jl. Kalibata Raya",,,Jakob Setjoatmadja,PT. Nav Jaya Mandiri,021 79966328,021 7995414,Bar,2015-01-10,
NAV,Jakarta Selatan,"Blok M Square Lt. 5, Jl. Melawai V",,,Jakub Setjoatmadja,PT. Nada Suara Abadi,021 29043551,021 29043551,Bar,2015-01-10,
NAV,Jakarta Selatan,"Golden Plaza, Jl. RS. Fatmawati No. 15 Blok E/30",,,Jakub Setjoatmadja,PT. Nav Bima Pratama,021 7507911,021 75911528,Bar,2015-01-10,
NAV,Jakarta Selatan,Jl. Bek Murad No. 62/I,,,Jakub Setjoatmadja,PT. Nada Suara Abadi,,,Bar,2015-01-10,
NEGEV,Jakarta Selatan,"City Plaza, Jl. KH. Abdul Rochim RT005/RW001",5,1,De Silva U Chandra Sri Lal,PT. Mount Scopus Indonesia,021 52971277,021 52971288,Bar,2015-01-10,
NEGEV,Jakarta Selatan,Jl. KH. Abdul Rochim RT005/RW001,5,1,De Silva U Chandra Sri Lal,PT. Mount Scopus Indonesia,021 52971277,021 52971288,Bar,2015-01-10,
NEO AMOR,Jakarta Selatan,Jl. Kemang Raya No. 18 C,,,Anton Prabowo,PT. Global Jaya Persada,,,Bar,2015-01-10,
NEW JIKEI SACHI BAR RESTAURANT,Jakarta Selatan,Jl. Melawai VIII No. 10,,,Ir. Mulyadi Prawirodipuro,PT. Amika Wira Satria,021 7208315,021 7206421,Bar,2015-01-10,
NEW SENTRA,Jakarta Selatan,Jl. Arteri Sultan Iskandar Muda No. 28 HJ,,,Tjoe Wendy Saputra,PT. Saputra Pelita Jaya,,,Bar,2015-01-10,
NEW TOP GUN,Jakarta Selatan,Jl. Falatehan I No. 32 - 33,,,Ahmad,PT. Tripatra Esa Andalan Mandiri,021 7395436,,Bar,2015-01-06,
NINETY NINE,Jakarta Selatan,"Lotte Shopping Avenue Ciputra World I Jl. Prof. Dr. Satrio Kav. 3-5, Karet Kuningan",,,Nugroho Setiadharma,PT. Supra Boga Lestari,021 58351999,021 58350999,Bar,2015-01-10,
nIP & DRAM,Jakarta Selatan,"Landmark Center, Jl. Jend. Sudirman No. 1",,,Alihan Tjohjono,PT. Mahakarya Boga Pratama,021 57903991,021 57902545,Bar,2015-01-10,
NOMOR SATU,Jakarta Selatan,"Patra Jasa, Jl. Jend. Gatot Subroto Kav. 32-34",,,Lai Sang Yenny,PT. Karya Putra Respati,021 5203073,021 5203073,Bar,2015-01-10,
NOUVELLE,Jakarta Selatan,Equity Tower Building Lt. GF B2 SCBD Lot 9 - Jl. Jend. Sudirman Kav. 52-53,,,Winston Jusuf,PT. Graha Citra Boga,021 5736501,021 5736501,Bar,2015-02-20,
NU' CHINA BAR & LOUNGE,Jakarta Selatan,Jl. Kemang Raya No. 24 RT010/RW005,,,NOVARMI BAKTI MASEWA,Novarmi Bakti Masewa,,,Bar,2015-01-10,
NUTMEG CUISINE & BAR,Jakarta Selatan,Jl. Kemang Utara Raya No. 1,4,1,Prof. Dr. T. Heraty Rooseno,PT. Cemara Namduanta,,,Bar,2015-01-10,
OAKROOM,Jakarta Selatan,Jl. DR. Ide Anak Agung Gde Agung Blok E4.2,,,KELLY TITIN SETIADIKURNIA,PT. Cozmo Serviced Apartment,021 25542300,021 25542400,Bar,1942-10-01,
ODYSSEIA,Jakarta Selatan,"Pacific Place Mall Lot. 3-5 SCBD, Jl. Jend. Sudirman",,,Michael Jason Kurniawan,PT. Angkasa Luar Lestari Indonesia,021 51400028,021 5153476,Bar,2015-01-10,
ODYSSEIA,Jakarta Selatan,"Pacific Place Mall Lot. 3-5 SCBD, Jl. Jend. Sudirm",,,Michael Jason Kurniawan,PT. Angkasa Luar Lestari Indonesia,021 5140028,021 5153476,Bar,2015-01-10,
OPERA BLANC,Jakarta Selatan,"Pacific Place Mal, Jl. Jend. Sudirman Kav. 52-53",,,Dra. Adhe Savitri,PT. Mitraboga Intisarana Pasifik,021 5152299,021 51400988,Bar,2015-01-10,
OSAMUYA,Jakarta Selatan,Jl. Melawai VIII No. 1,,,Aditeyalaksana Pranadi,,021 7200157,,Bar,2015-01-10,
OSAMUYA,Jakarta Selatan,Jl. Melawai VIII No. 1,,,Aditeyalaksana Pranadi,,021 7200157,,Bar,2015-01-10,
OUTBACK STEAKHOUSE,Jakarta Selatan,"Kuningan City G-11 & G-15, Jl. Prof. Dr. Satrio Kav. 18",,,Prasoon Mukherjee,PT. OBS Citra Indonesia,021 30480505,,Bar,2015-01-10,
OUTBACK STEAKHOUSE,Jakarta Selatan,"Mal Pondok Indah, Jl. Metro, Blok III B",,,Prasoon Mukherjee,PT. OBS Citra Indonesia,021 7506771,021 7506773,Bar,2015-01-10,
PALACE BAR,Jakarta Selatan,"Menara Jamsostek, Jl. Jend. Gatot Subroto Kav. 7",,,Hong Ki Jong,PT. Chung Hae Indonesia,021 52962001,021 52962003,Bar,2015-01-10,
"Pamor Pool ""N"" Bar",Jakarta Selatan,Jl. Kyai Maja No. 63,,,Deny Kurniawan ,,021 7243203,,Bar,2015-01-10,
PAPILON,Jakarta Selatan,Jl. Metro Pondok Indah Sektor II,,,Johannes Peddy Wongsowidjojo,PT. Pondok Indah Tower,021 7500383,,Bar,2015-01-10,
PARC 19,Jakarta Selatan,Jl. Taman Kemang No. 19,,,Leon Budinanggala Gunawan,PT. Globaltama Maharasa,,,Bar,2015-01-10,
PASTIS KITCHEN & BAR,Jakarta Selatan,"Grand Kuningan, Jl. Setiabudi Utara",,,Andreas Halim,PT. Grand Kuningan,021 5260260,021 5260285,Bar,2015-01-10,
PATHEYA,Jakarta Selatan,Jl. Kemang Utara Raya No. 22,,,"Rahayu Ningsih Hoed,SH.LLM",PT. Candi Sejahtera Utama,021 71792401,021 7180118,Bar,2015-01-10,
PATIO,Jakarta Selatan,Jl. Wijaya XIII No. 45,,,Yunus Nugroho,PT. Taruna Bakti Nusantara,021 7237388,021 7220626,Bar,2015-01-10,
PENARI,Jakarta Selatan,Jl. Melawai VI No. 8,,,Sugianto,PT. Pragito Manunggal Sejahtera,021 7251766,,Bar,2015-01-10,
PEPENERO,Jakarta Selatan,"Gd. Colony 6 Kemang, Jl. Kemang Raya No. 6A",,,Dian Budiman Wirjawan,PT. Red Ginger Creation,021 29529955,021 29529956,Bar,2015-01-10,
PEPeNERO,Jakarta Selatan,"Gedung Energy SCBD, Jl. Jend. Sudirman Kav. 52",,,Dian Budiman Wirjawan,PT. Red Ginger Creation,021 52964006,021 52964007,Bar,2015-01-10,
PEPeNERO CUCINA ITALIANA,Jakarta Selatan,Jl. HR.Rasuna Said Blok X-5 Kav. 1-2,,,Dian Budiman Wirjawan,PT. Red Ginger Creation,021 57944727,021 57944727,Bar,2015-01-10,
PETROMAK',Jakarta Selatan,Jl. Kemang Raya No. 8,,,Muhammad Ibrahim,PT. Petromak Sukses Mandiri,021 71790552,021 71791583,Bar,2015-01-10,
PHOBAR,Jakarta Selatan,"Kawasan Niaga Terpadu Sudirman Lot. 14, Jl. Jend. Sudirman",,,Henri Victor Parengkuan,PT. Selera Cipta Abadi,,,Bar,2015-01-10,
PISA CAFÉ & RESTO MAHAKAM,Jakarta Selatan,Jl. Mahakam I No. 11 RT001/RW006,1,6,Anton Harianto,PT. Cita Rasa Creative,021 7221230,021 7254387,Bar,2015-01-10,
PISA SETIABUDI,Jakarta Selatan,"Gd. Setiabudi I, Jl. HR. Rasuna Said Kav. 62",,,Dicky Darmadi Panjaitan,PT. Pegagan Megah Perkasa,,,Bar,2015-01-10,
PISCATOR,Jakarta Selatan,Gandaria City Mall Lt. Mainstreet UG/MV No. 39,,,Reny Juniarty,PT. Rells Kuliner,,,Bar,2015-01-10,
PIZZA E BIRRA,Jakarta Selatan,"Gd. Setiabudi I, Jl. H.R. Rasuna Said",,,Christian Rijanto,PT. Kharisma Birra Sejahtera,,,Bar,2015-01-10,
PIZZA E BIRRA,Jakarta Selatan,"Gandaria City, Jl. Sultan Iskandar Muda No. 8",,,Christian Rijanto,PT. Kharisma Birra Sejahtera,,,Bar,2015-01-10,
PLANET HOLLYWOOD,Jakarta Selatan,"Hotel Kartika Chandra, Jl. Jend.Gatot Soebroto Kav. 18-20",,,Donald Wira Atmaja,PT. Fantasia Pratama Mandiri,021 5207384,021 5207384,Bar,2015-05-28,
PLANET HOLLYWOOD,Jakarta Selatan,Hotel Kartika Chandra Jl. Jend.Gatot Soebroto Kav. 18-20,,,Donald Wira Atmaja,PT. Fantasia Pratama Mandiri,021 5207384,021 5207384,Bar,2015-05-28,
POKENBIR,Jakarta Selatan,"Gd. Lippo Kuningan, Jl. H.R. Rasuna Said Kav. 1",,,Charles Wawo Unsulangi,PT. Tirta Gracia Fiesta,,,Bar,2015-01-10,
POPULAR MANSION KITCHEN & BAR,Jakarta Selatan,"Gd. Menara Global Lt. 17 Suite D, Jl. Jend. Gatot Subroto Kav. 27",,,Vicky Ganda Saputra,PT. Papillon Media Kuliner,021 5270561,021 5270562,Bar,2015-01-10,
POTATO HEAD,Jakarta Selatan,"Pacific Place Mal, Jl. Jend. Sudirman Kav. 52-53",,,Ronald Akili,PT. Super Potato Indonesia,021 57973322,021 57973322,Bar,2015-01-10,
POTATO HEAD GARAGE,Jakarta Selatan,"Lot. 14 SCBD, Jl. Jend. Sudirman Kav. 52-53",,,Ronald Akili,PT. CIPTA KREASI RASA,021 57973330,021 57973330,Bar,2015-02-25,
PRIME CUTS,Jakarta Selatan,"City Plaza Suite UG-05, Jl. Jend. Gatot Subroto",,,Zakie Mubarak Yos,PT. Salaras Rasa Ranadi,021 30002008,021 30002008,Bar,2015-01-10,
PRINCESA,Jakarta Selatan,Jl. Kemang Raya No. 33,,,Nina Widiawati,CV. Princess,021 70747429,,Bar,2015-01-10,
PRINCESA,Jakarta Selatan,Jl. Kemang Raya No. 33,,,Nina Widiawati,CV. Princess,021 70747429,,Bar,2015-01-10,
PROLOGUE,Jakarta Selatan,Jl. Ciputat Raya No. 102,,,"Dike Abdillah, ST",PT. Anugerah Tunggal Mandiri,021 7224905,021 7224904,Bar,2015-01-10,
PUBLO,Jakarta Selatan,Jl. Kemang I No. 1,10,5,Muhamad Ibrahim,PT. Publo Sapta Sejahtera,021 7193455,021 7192721,Bar,2015-01-10,
PURAN,Jakarta Selatan,Jl. HR.Rasuna Said Blok W No. 220A,,,Jumadi,PT. Puran,,,Bar,1940-08-01,
PURE DINE & DRINK,Jakarta Selatan,Jl. HR. Rasuna Said Kav. 1,,,Martin Kauw,PT. Mitra Cipta Indah,,,Bar,2015-01-10,
Putra Raja,Jakarta Selatan,Jl. Melawai V No. 12,,,Raden Diyah Ayu Nawangwulan,PT. Bintang Putra Raja,021 7235824,021 7235824,Bar,2015-01-10,
Q - RI,Jakarta Selatan,Jl. Melawai VI No. 2 ,2,1,Reyanti Prihatiningsih,,021 7227982,021 7208937,Bar,15/60,
RACE 2 RUN CAFÉ,Jakarta Selatan,Jl. Raya Pasar Minggu A-11,,,"Drs.William Junaidi, MM",PT. Dirgantara Elang Sakti Ekasejati,021 7990888,021 7971277,Bar,2015-01-10,
RANCH KITCHEN,Jakarta Selatan,Jl. Sultan Iskandarmuda No. 21,,,Nugroho Setiadharma,PT. Supra Boga Lestari,,,Bar,2015-01-10,
RAT AT QUILLE,Jakarta Selatan,Jl. HR.Rasuna Said Kav. 20 Lt.1 GF & Lt.2 Mezzanine,,,Tesia Marcelina,PT. Alenko,,,Bar,2015-01-10,
RED & WHITE,Jakarta Selatan,Jl. Wijaya I No. 49,9,5,Yudi Martanto,PT. Wonderful Mulia Jaya,,,Bar,2015-01-10,
RED & WHITE,Jakarta Selatan,"Lippo Mall, Kemang Village, Jl. Kemang VI",,,Yudi Martanto,PT. Wonderful Mulia Jaya,021 72801829,021 72801379,Bar,2015-01-10,
RED & WHITE,Jakarta Selatan,Jl. Kemang Raya No. 16 B,,,Asna Lisa Makoginta,PT. Sang Saka Manunggal,021 7183184,,Bar,2015-01-10,
RED & WHITE,Jakarta Selatan,The Mansion At Kemang Unit Apartemen Arcade,,,Yudi Martanto,PT. Wonderful Mulia Jaya,021 72788273,021 72788273,Bar,2015-01-10,
RED & WHITE,Jakarta Selatan,"Mal Kota Kasablanka, Jl. Casablanca Kav. 88",,,Yudi Martanto,PT. Wonderful Mulia Jaya,021 6683772,021 6683765,Bar,2015-01-10,
RED & WHITE,Jakarta Selatan,"Mal Kota Kasablanka, Jl. Casablanca Kav. 88",,,Yudi Martanto,PT. Wonderful Mulia Jaya,,,Bar,2015-01-10,
RED & WHITE,Jakarta Selatan,"Pacific Place Mall Unit LG-23 SCBD, Jl. Jend. Sudirman Kav. 52-53",,,Yudi Martanto,PT. Wonderful Mulia Jaya,021 72788273,,Bar,2015-01-10,
RED & WHITE WINE & SPIRIT,Jakarta Selatan,"Darmawangsa Square The City Walk, Jl. Dharmawangsa",,,Yudi Martanto,PT. Wonderful Mulia Jaya,021 72801829,021 72801379,Bar,2015-01-10,
RED & WHITE WINE & SPIRITS,Jakarta Selatan,"Pondok Indah Mall I, Jl. Metro Pondok Indah",,,Yudi Martanto,PT. Wonderful Mulia Jaya,021 72788273,021 72788273,Bar,2015-01-10,
RED LINE,Jakarta Selatan,Jl. Radio Dalam Raya No. 9,,,"Rudy Hartono, SH",PT. Potensi Rezeki Bersama,,,Bar,2015-01-10,
RED LINE,Jakarta Selatan,Kawasan Niaga Terpadu Sudirman (SCBD),,,Rudy Hartono,PT. Potensi Rezeki Bersama,021 5153828,021 5153829,Bar,2015-01-10,
RED TOMATO,Jakarta Selatan,"Lippo Mal Kemang, Kemang Village, Jl. Kemang",,,Jeannie Widjaja,PT. Global Fusion,,,Bar,2015-01-10,
RICK'S CAFÉ,Jakarta Selatan,"Gd. Hero, Jl. Jend. Gatot Subroto  Kav. 64 No. 17",,,Sukirman Purwita,Sukirman Purwita,021 83702046,021 83700643,Bar,2015-01-10,
RIKISHI,Jakarta Selatan,Jl. Melawai IX No. 10 F,,,Nurjana,PT. Japindo Nusantara,,,Bar,2015-01-10,
RIKISHI,Jakarta Selatan,Jl. Darmawangsa VI/IX No. 6,,,Abdul Sahid,PT. Japindo Nusantara,,,Bar,1940-08-01,
ROLLING STONE CAFE,Jakarta Selatan,"Rolling Stone Building, Jl. Ampera Raya No. 16",,,Billy Boen,PT. Ampera Sixteen,,,Bar,2015-02-20,
ROOSTERS,Jakarta Selatan,Jl. Kemang Raya No. 29,,,Susan Lian Thompson,PT. Era Tunas Jaya,021 7182963,,Bar,2015-01-10,
ROPPONGI PAPA,Jakarta Selatan,"Gd. Setiabudi I, Jl. HR. Rasuna Said Kav. 62",,,Djaharry D. Saragih,PT. Irama Java Indah,021 5212255,,Bar,2015-01-10,
ROPPONGI PAPA,Jakarta Selatan,Jl. Mahakam I No. 15,,,Djaharry Dasdo Saragih,PT. Irama Java Indah,021 7253169,021 7253169,Bar,2015-01-10,
